23:22:09 | DB_CALL  |    617ms | rows=1
23:22:11 | DB_CALL  |    365ms | rows=1
23:22:11 | DB_CALL  |    369ms | rows=2
23:22:11 | REQUEST  |    384ms | GET /admin/dashboard -> 200
23:22:13 | DB_CALL  |    326ms | rows=1
23:22:13 | DB_CALL  |    329ms | rows=2
23:22:13 | REQUEST  |    331ms | GET /admin/dashboard -> 200
23:22:19 | DB_CALL  |    670ms | rows=1
23:22:19 | REQUEST  |    673ms | GET /admin/export-attendance -> 200
23:32:13 | DB_CALL  |   1159ms | rows=1
23:32:15 | DB_CALL  |    413ms | rows=2
23:32:15 | DB_CALL  |    413ms | rows=1
23:32:15 | REQUEST  |    430ms | GET /admin/dashboard -> 200
23:32:20 | DB_CALL  |    254ms | rows=3
23:32:20 | REQUEST  |    266ms | GET /admin/events -> 200
23:32:27 | DB_CALL  |    556ms | rows=1
23:32:28 | DB_CALL  |    307ms | rows=1
23:32:28 | REQUEST  |    980ms | GET /admin/export-attendance/f358219c-584f-45da-9680-46f7d7b7943e -> 200
23:32:34 | DB_CALL  |    448ms | rows=1
23:32:34 | DB_CALL  |    300ms | rows=1
23:32:34 | REQUEST  |    765ms | GET /admin/export-attendance/f358219c-584f-45da-9680-46f7d7b7943e -> 200
23:32:41 | DB_CALL  |    347ms | rows=1
23:32:41 | DB_CALL  |    202ms | rows=1
23:32:41 | REQUEST  |    577ms | GET /admin/export-attendance/f358219c-584f-45da-9680-46f7d7b7943e -> 200
23:32:50 | DB_CALL  |    504ms | rows=0
23:32:50 | REQUEST  |    711ms | GET /admin/export-attendance/0be77469-5ce5-423f-aa0a-6599aa50670a -> 200
23:33:04 | DB_CALL  |    584ms | rows=0
23:33:04 | REQUEST  |    589ms | GET /admin/export-attendance/c2df74ea-3e3c-40e0-b418-c6b5cd3d05cc -> 200
23:33:51 | DB_CALL  |    606ms | rows=1
23:33:51 | DB_CALL  |    306ms | rows=1
23:33:52 | REQUEST  |   1021ms | GET /admin/export-attendance/f358219c-584f-45da-9680-46f7d7b7943e -> 200
23:35:22 | DB_CALL  |    970ms | rows=3
23:35:22 | REQUEST  |    995ms | GET /admin/events -> 200
23:35:25 | DB_CALL  |    300ms | rows=3
23:35:25 | REQUEST  |    302ms | GET /admin/events -> 200
23:35:26 | DB_CALL  |    279ms | rows=1
23:35:27 | DB_CALL  |    212ms | rows=1
23:35:27 | REQUEST  |    498ms | GET /admin/export-attendance/f358219c-584f-45da-9680-46f7d7b7943e -> 200
23:37:09 | REQUEST  |      4ms | GET /auth/logout -> 307
23:37:09 | REQUEST  |      9ms | GET / -> 200
23:37:18 | DB_CALL  |    691ms | rows=2
23:37:18 | REQUEST  |    707ms | GET /admin/users -> 200
23:37:26 | DB_CALL  |    300ms | rows=1
23:37:26 | DB_CALL  |    312ms | rows=1
23:37:26 | REQUEST  |    994ms | POST /admin/users/920e5f6c-2ab0-4907-b203-2346a25d2dda/delete -> 303
23:37:27 | DB_CALL  |    270ms | rows=1
23:37:27 | REQUEST  |    272ms | GET /admin/users -> 200
23:38:51 | AUTH     |      1ms | sign_in_with_oauth
23:38:51 | REQUEST  |      8ms | GET /auth/github -> 307
23:38:54 | AUTH     |    381ms | exchange_code_for_session
23:38:55 | DB_CALL  |    349ms | rows=0
23:38:55 | DB_CALL  |    247ms | rows=1
23:38:55 | REQUEST  |    987ms | GET /auth/callback -> 307
23:38:55 | DB_CALL  |    211ms | rows=1
23:38:55 | REQUEST  |    229ms | GET /user/complete-profile -> 200
23:39:01 | DB_CALL  |    518ms | rows=1
23:39:01 | REQUEST  |    522ms | POST /user/complete-profile -> 302
23:39:02 | DB_CALL  |    296ms | rows=1
23:39:02 | DB_CALL  |    306ms | rows=0
23:39:02 | DB_CALL  |    306ms | rows=1
23:39:02 | DB_CALL  |    306ms | rows=0
23:39:02 | REQUEST  |    620ms | GET /user/events -> 200
23:39:04 | DB_CALL  |    302ms | rows=1
23:39:05 | REQUEST  |    687ms | POST /user/events/f358219c-584f-45da-9680-46f7d7b7943e/register -> 302
23:39:05 | DB_CALL  |    324ms | rows=1
23:39:05 | DB_CALL  |    208ms | rows=1
23:39:05 | DB_CALL  |    221ms | rows=1
23:39:05 | DB_CALL  |    222ms | rows=1
23:39:06 | DB_CALL  |    201ms | rows=1
23:39:06 | REQUEST  |    736ms | GET /user/events -> 200
23:39:11 | REQUEST  |    776ms | GET /user/registrations/30f5e57b-2541-4370-b94e-e3572aac44a2/qr -> 200
23:39:32 | REQUEST  |      8ms | GET /admin/verify -> 200
23:39:41 | REQUEST  |    805ms | POST /api/verify -> 200
23:39:42 | DB_CALL  |    196ms | rows=1
23:39:57 | DB_CALL  |    454ms | rows=3
23:39:57 | REQUEST  |    456ms | GET /admin/events -> 200
23:40:01 | DB_CALL  |    303ms | rows=1
23:40:02 | DB_CALL  |    305ms | rows=1
23:40:02 | REQUEST  |    622ms | GET /admin/export-attendance/f358219c-584f-45da-9680-46f7d7b7943e -> 200
23:40:17 | DB_CALL  |    628ms | rows=1
